code,name,listing_board
AADI,Adaro Andalan Indonesia Tbk.,Utama
AALI,Astra Agro Lestari Tbk.,Utama
ABBA,Mahaka Media Tbk.,Pemantauan Khusus
ABDA,Asuransi Bina Dana Arta Tbk.,Pemantauan Khusus
ABMM,ABM Investama Tbk.,Utama
ACES,Aspirasi Hidup Indonesia Tbk.,Utama
ACRO,Samcro Hyosung Adilestari Tbk.,Pengembangan
ACST,Acset Indonusa Tbk.,Pengembangan
ADCP,Adhi Commuter Properti Tbk.,Pengembangan
ADES,Akasha Wira International Tbk.,Pengembangan
ADHI,Adhi Karya (Persero) Tbk.,Utama
ADMF,Adira Dinamika Multi Finance T,Pengembangan
ADMG,Polychem Indonesia Tbk,Pengembangan
ADMR,Adaro Minerals Indonesia Tbk.,Utama
ADRO,Alamtri Resources Indonesia Tb,Utama
AEGS,Anugerah Spareparts Sejahtera,Pemantauan Khusus
AGAR,Asia Sejahtera Mina Tbk.,Pengembangan
AGII,Samator Indo Gas Tbk.,Pengembangan
AGRO,Bank Raya Indonesia Tbk.,Utama
AGRS,Bank IBK Indonesia Tbk.,Pengembangan
AHAP,Asuransi Harta Aman Pratama Tb,Pengembangan
AIMS,Artha Mahiya Investama Tbk.,Pengembangan
AISA,FKS Food Sejahtera Tbk.,Utama
AKKU,Anugerah Kagum Karya Utama Tbk,Pemantauan Khusus
AKPI,Argha Karya Prima Industry Tbk,Pengembangan
AKRA,AKR Corporindo Tbk.,Utama
AKSI,Mineral Sumberdaya Mandiri Tbk,Pengembangan
ALDO,Alkindo Naratama Tbk.,Pengembangan
ALII,Ancara Logistics Indonesia Tbk,Utama
ALKA,Alakasa Industrindo Tbk,Pengembangan
ALMI,Alumindo Light Metal Industry,Pemantauan Khusus
ALTO,Tri Banyan Tirta Tbk.,Pemantauan Khusus
AMAG,Asuransi Multi Artha Guna Tbk.,Pengembangan
AMAN,Makmur Berkah Amanda Tbk.,Pengembangan
AMAR,Bank Amar Indonesia Tbk.,Pengembangan
AMFG,Asahimas Flat Glass Tbk.,Utama
AMIN,Ateliers Mecaniques D Indonesi,Pengembangan
AMMN,Amman Mineral Internasional Tb,Utama
AMMS,Agung Menjangan Mas Tbk.,Akselerasi
AMOR,Ashmore Asset Management Indon,Pengembangan
AMRT,Sumber Alfaria Trijaya Tbk.,Utama
ANDI,Andira Agro Tbk.,Pemantauan Khusus
ANJT,Austindo Nusantara Jaya Tbk.,Pengembangan
ANTM,Aneka Tambang Tbk.,Utama
APEX,Apexindo Pratama Duta Tbk.,Pengembangan
APIC,Pacific Strategic Financial Tb,Pengembangan
APII,Arita Prima Indonesia Tbk.,Pengembangan
APLI,Asiaplast Industries Tbk.,Pengembangan
APLN,Agung Podomoro Land Tbk.,Utama
ARCI,Archi Indonesia Tbk.,Pengembangan
AREA,Dunia Virtual Online Tbk.,Pengembangan
ARGO,Argo Pantes Tbk,Pengembangan
ARII,Atlas Resources Tbk.,Pengembangan
ARKA,Arkha Jayanti Persada Tbk.,Pemantauan Khusus
